matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_CAAk2cn3,18.05. 16:20,BC Wolves,Neptunas,91,80,26,14,24,27,,16,15,26,23,
g_3_CKyUTlJ5,17.05. 17:50AOT,Juventus,Lietkabelis,99,100,18,25,17,28,11,23,25,20,20,12
g_3_ENt7MRZH,15.05. 17:50,Neptunas,BC Wolves,95,76,30,23,26,16,,23,23,10,20,
g_3_UoisTNbl,15.05. 17:00,Jonava,Rytas,90,96,23,30,22,15,,20,21,28,27,
g_3_pWbPpsHq,14.05. 17:50,Lietkabelis,Juventus,88,89,20,26,16,26,,24,22,23,20,
g_3_bRrbPubD,14.05. 17:00,Mazeikiai,Zalgiris Kaunas,58,76,14,22,10,12,,23,17,18,18,
g_3_tAraOm55,13.05. 18:30,BC Wolves,Neptunas,91,84,31,14,19,27,,22,20,21,21,
g_3_KC5BYqyR,13.05. 17:50,Rytas,Jonava,110,77,22,29,28,31,,28,18,22,9,
g_3_Em8gj3gM,12.05. 16:20,Juventus,Lietkabelis,77,84,17,20,23,17,,22,16,27,19,
g_3_QDpjR1T0,12.05. 15:00,Zalgiris Kaunas,Mazeikiai,97,61,17,25,28,27,,26,15,5,15,
g_3_8S2cvHnq,09.05. 18:00,Mazeikiai,Nevezis,81,93,23,17,16,25,,29,22,20,22,
g_3_jmGVrcvS,09.05. 17:50,Siauliai,Lietkabelis,79,87,23,14,17,25,,22,25,12,28,
g_3_vDCRqwPL,09.05. 17:00,Pieno Zvaigzdes,Rytas,89,124,23,23,27,16,,35,30,31,28,
g_3_dlNMpJ9F,08.05. 17:50,Zalgiris Kaunas,Juventus,92,62,26,23,24,19,,15,19,7,21,
g_3_8StSOymd,06.05. 17:50,Lietkabelis,Nevezis,92,93,17,31,27,17,,24,21,20,28,
g_3_02wKQcIq,05.05. 18:30,Siauliai,Neptunas,104,98,21,22,25,36,,19,33,19,27,
g_3_fPxOPHXk,05.05. 16:20,BC Wolves,Zalgiris Kaunas,97,93,17,35,25,20,,26,13,26,28,
g_3_bgihVwAS,04.05. 16:20,Juventus,Jonava,88,85,30,15,19,24,,22,20,25,18,
g_3_htMiXauG,02.05. 17:50,Zalgiris Kaunas,Nevezis,102,78,32,29,23,18,,15,21,21,21,
g_3_bJMmYuQ9,02.05. 17:15,Lietkabelis,Mazeikiai,88,82,31,14,23,20,,21,25,20,16,
g_3_pGIqZLA3,01.05. 17:50,Juventus,Rytas,88,78,11,28,22,27,,21,9,20,28,
g_3_2iTvz2ec,01.05. 17:30,Neptunas,BC Wolves,85,86,15,31,21,18,,15,14,24,33,
g_3_O0Uzyrti,01.05. 17:00,Pieno Zvaigzdes,Jonava,77,116,19,18,21,19,,31,29,35,21,
g_3_dfxkDvlp,29.04. 17:50,Zalgiris Kaunas,Mazeikiai,95,68,31,25,23,16,,7,23,15,23,
g_3_GdOKU6JH,28.04. 18:30,Jonava,Rytas,85,98,18,25,19,23,,22,30,24,22,
g_3_4MKGVn4B,28.04. 16:20,Lietkabelis,Juventus,78,91,16,25,18,19,,29,25,12,25,
g_3_EXR3YlKh,27.04. 16:20,Siauliai,BC Wolves,65,91,26,13,13,13,,25,28,21,17,
g_3_AaLCWSl5,27.04. 16:00,Neptunas,Pieno Zvaigzdes,77,88,27,18,10,22,,24,19,15,30,
g_3_tKTezBkt,22.04. 17:50,Neptunas,Nevezis,79,92,26,20,12,21,,24,21,20,27,
g_3_6N0yvTtP,21.04. 18:30,Juventus,Siauliai,96,93,26,25,21,24,,31,21,22,19,
g_3_4bxUvisP,21.04. 16:20,Zalgiris Kaunas,Jonava,101,57,30,21,26,24,,15,10,13,19,
g_3_SW1Xv9RI,21.04. 16:00,Mazeikiai,Rytas,63,89,14,12,20,17,,21,31,18,19,
g_3_zsTaZU4n,20.04. 16:20,BC Wolves,Pieno Zvaigzdes,111,79,30,30,24,27,,13,31,22,13,
g_3_biEKsBs0,18.04. 17:50,Rytas,Siauliai,83,74,24,21,18,20,,18,22,13,21,
g_3_tG3PtVd6,18.04. 17:30,Nevezis,Jonava,116,83,37,29,33,17,,19,22,17,25,
g_3_jRACqXCm,17.04. 17:30AOT,Neptunas,Zalgiris Kaunas,114,112,19,19,23,26,27,19,21,11,36,25
g_3_WtUukgkQ,16.04. 17:15,Lietkabelis,Pieno Zvaigzdes,90,63,20,26,19,25,,19,18,12,14,
g_3_hjVyjZZJ,15.04. 17:50,Nevezis,Siauliai,86,94,18,26,15,27,,24,21,25,24,
g_3_KnzrUiD0,14.04. 18:30,Mazeikiai,Jonava,62,79,23,13,11,15,,24,22,17,16,
g_3_vmsfRkcJ,14.04. 16:20,Zalgiris Kaunas,Rytas,92,78,27,22,19,24,,22,19,16,21,
g_3_bwZoTBS6,13.04. 16:20,Neptunas,Lietkabelis,88,84,20,23,31,14,,27,14,22,21,
g_3_jDVwVXcf,13.04. 15:30,Pieno Zvaigzdes,Juventus,83,89,15,20,28,20,,22,20,19,28,
g_3_plAGriSg,10.04. 17:50,BC Wolves,Mazeikiai,104,78,26,30,23,25,,21,23,15,19,
g_3_CMWZVDrl,08.04. 17:50,Jonava,Neptunas,78,81,20,18,22,18,,18,15,14,34,
g_3_bFjaxG5K,07.04. 18:30,Siauliai,Pieno Zvaigzdes,98,89,28,19,25,26,,26,25,15,23,
g_3_hxj3yzLQ,07.04. 16:20,Rytas,Lietkabelis,113,100,34,35,22,22,,20,26,33,21,
g_3_KOiewdjE,06.04. 16:20,Mazeikiai,Juventus,73,71,14,27,16,16,,15,17,19,20,
g_3_KWoKECDD,06.04. 16:00,BC Wolves,Nevezis,102,83,23,30,27,22,,27,24,16,16,
g_3_ttmGFhb7,02.04. 17:30,Jonava,Siauliai,81,80,14,31,24,12,,24,19,22,15,
g_3_YFq8HETf,01.04. 17:50,Lietkabelis,Zalgiris Kaunas,77,83,16,24,18,19,,22,28,18,15,
g_3_nJmCGYr1,01.04. 17:30,Neptunas,Mazeikiai,91,89,21,15,32,23,,21,20,22,26,
g_3_C0eaJzar,30.03. 16:20,BC Wolves,Juventus,100,88,27,20,27,26,,25,24,14,25,
g_3_K83XNGjR,30.03. 15:00,Nevezis,Rytas,79,88,19,11,27,22,,21,28,24,15,
g_3_jkoWhsk8,28.03. 17:50,Lietkabelis,Rytas,77,89,18,22,16,21,,17,26,20,26,
g_3_AXKAmLPd,27.03. 18:00,Mazeikiai,Pieno Zvaigzdes,79,73,17,25,24,13,,22,13,22,16,
g_3_fPOY2FE1,25.03. 17:50,Juventus,Neptunas,83,96,16,21,30,16,,22,29,18,27,
g_3_bgFOPxME,24.03. 18:30,Lietkabelis,Jonava,90,80,15,22,25,28,,14,21,20,25,
g_3_YFNx2ZT7,24.03. 16:20,Rytas,BC Wolves,99,83,27,23,19,30,,19,25,25,14,
g_3_nJBKQI68,24.03. 14:00,Siauliai,Zalgiris Kaunas,69,92,19,15,23,12,,28,19,19,26,
g_3_xlUT3eae,23.03. 16:20,Pieno Zvaigzdes,Nevezis,74,76,14,20,19,21,,28,16,20,12,
g_3_jFUMR4j9,20.03. 17:15,Lietkabelis,Mazeikiai,82,81,19,15,31,17,,26,22,24,9,
g_3_bcVP4ypk,18.03. 17:50,Nevezis,Juventus,88,93,22,23,21,22,,22,28,21,22,
g_3_AZDmOPpA,17.03. 18:30,Siauliai,Mazeikiai,91,94,29,21,22,19,,17,16,31,30,
g_3_hb3hNq0G,17.03. 16:20,BC Wolves,Lietkabelis,109,72,27,19,36,27,,16,13,25,18,
g_3_4zWL5HUr,17.03. 16:20,Zalgiris Kaunas,Pieno Zvaigzdes,97,77,25,28,23,21,,14,20,23,20,
g_3_WrFqP5V3,16.03. 16:20,Rytas,Neptunas,83,84,11,16,30,26,,18,27,17,22,
g_3_lOJEnuu3,13.03. 17:30,Jonava,BC Wolves,81,68,21,26,16,18,,13,18,18,19,
g_3_dCNg2rOj,11.03. 17:50,Neptunas,Siauliai,85,76,19,23,24,19,,17,22,22,15,
g_3_bH1xRR0i,10.03. 18:30,Juventus,Pieno Zvaigzdes,119,78,26,37,29,27,,17,25,14,22,
g_3_QTWN740T,10.03. 16:20,Zalgiris Kaunas,Rytas,97,94,28,23,21,25,,26,22,28,18,
g_3_nwYJ8poN,09.03. 16:20,Jonava,Lietkabelis,74,92,15,24,22,13,,24,20,17,31,
g_3_U1wF9QVG,07.03. 17:30,Nevezis,Mazeikiai,72,83,15,22,16,19,,23,26,17,17,
g_3_ObmfElHo,04.03. 17:50,Lietkabelis,Neptunas,76,78,21,18,25,12,,23,26,15,14,
g_3_dlu7Bn14,03.03. 18:30,Pieno Zvaigzdes,Nevezis,91,101,28,19,23,21,,23,28,22,28,
g_3_pEy3CSob,03.03. 16:20,Siauliai,Jonava,89,86,28,17,23,21,,25,16,20,25,
g_3_2knbD8Wi,02.03. 16:20,Rytas,Juventus,93,88,30,18,24,21,,24,19,18,27,
g_3_zqfCk5vo,02.03. 15:30,Mazeikiai,BC Wolves,73,84,25,13,19,16,,21,23,20,20,
g_3_YZ7pfoWT,12.02. 17:50,Neptunas,Zalgiris Kaunas,75,95,13,22,20,20,,24,24,27,20,
g_3_jBIueRGN,11.02. 18:30,Lietkabelis,Siauliai,92,85,25,22,21,24,,29,15,14,27,
g_3_x8Eyd71H,11.02. 16:20,BC Wolves,Jonava,85,96,25,19,20,21,,25,17,27,27,
g_3_4fGTcTW4,10.02. 16:20,Mazeikiai,Juventus,88,86,22,18,13,35,,25,13,16,32,
g_3_OraWb9Hb,10.02. 16:00,Rytas,Nevezis,113,64,30,35,23,25,,18,15,15,16,
g_3_ph0Sak2h,05.02. 17:50,Zalgiris Kaunas,Juventus,101,63,22,34,17,28,,14,12,26,11,
g_3_4vS5rlXH,04.02. 18:30AOT,Nevezis,Neptunas,96,92,26,18,21,21,10,22,17,21,26,6
